0,FileTitle,Total return count,Total return count above 0.50,Return 1 count above 0.50,Return 2 count above 0.50,Return 3 count above 0.50,Return 4 count above 0.50,Return 5 count above 0.50,Return 6 count above 0.50,Return 7 count above 0.50,Return 8 count above 0.50,Return 9 count above 0.50,Other return count above 0.50,Elev minimum,Elev maximum,Elev mean,Elev mode,Elev stddev,Elev variance,Elev CV,Elev IQ,Elev skewness,Elev kurtosis,Elev AAD,Elev MAD median,Elev MAD mode,Elev L1,Elev L2,Elev L3,Elev L4,Elev L CV,Elev L skewness,Elev L kurtosis,Elev P01,Elev P05,Elev P10,Elev P20,Elev P25,Elev P30,Elev P40,Elev P50,Elev P60,Elev P70,Elev P75,Elev P80,Elev P90,Elev P95,Elev P99,Canopy relief ratio,Elev SQRT mean SQ,Elev CURT mean CUBE,Int minimum,Int maximum,Int mean,Int mode,Int stddev,Int variance,Int CV,Int IQ,Int skewness,Int kurtosis,Int AAD,Int L1,Int L2,Int L3,Int L4,Int L CV,Int L skewness,Int L kurtosis,Int P01,Int P05,Int P10,Int P20,Int P25,Int P30,Int P40,Int P50,Int P60,Int P70,Int P75,Int P80,Int P90,Int P95,Int P99,Profile area,miasto,gatunek,gatunek2,wiek_dok,klasa_w,rodzaj
1,01_fro_p_d,129543,110970,70032,33374,7001,548,15,0,0,0,0,0,0.510000,32.799999,15.707630,19.986507,6.333636,40.114945,0.403220,10.180000,-0.215129,2.123457,5.386609,4.980000,4.833492,15.707630,3.632978,-0.210975,0.153989,0.231287,-0.058072,0.042387,2.390000,4.910000,6.760000,9.460000,10.660000,11.810000,14.110000,16.410000,18.299999,20.030001,20.840000,21.700001,23.620001,24.990000,27.283125,0.470661,16.936476,17.874842,8.000000,165.000000,29.192007,12.984127,15.960180,254.727355,0.546731,19.000000,1.399040,5.266282,12.232856,29.192007,8.422667,2.222173,1.189220,0.288526,0.263832,0.141193,10.000000,12.000000,13.000000,16.000000,17.000000,19.000000,22.000000,25.000000,29.000000,34.000000,36.000000,40.000000,51.000000,62.000000,82.000000,48.702220,regietow,so,bk,77,4,porolny
2,02_fro_p_d,132261,108220,70654,30868,6156,528,14,0,0,0,0,0,0.510000,29.639999,12.947058,17.618095,6.626946,43.916412,0.511850,10.049999,-0.336286,2.064023,5.584758,4.750000,4.558095,12.947058,3.776369,-0.356350,0.145006,0.291678,-0.094363,0.038398,0.750000,1.510000,2.320000,6.030000,8.180000,9.670000,12.020000,14.100000,15.860000,17.459999,18.230000,19.020000,20.750000,22.209999,24.740000,0.426950,14.544494,15.574933,8.000000,137.000000,30.620153,14.142857,18.116155,328.195055,0.591642,21.000000,1.507703,5.457366,13.727852,30.620153,9.422904,2.750645,1.446956,0.307735,0.291911,0.153557,10.000000,12.000000,13.000000,16.000000,17.000000,19.000000,22.000000,26.000000,30.000000,35.000000,38.000000,42.000000,56.000000,68.000000,92.000000,42.275899,regietow,so,bk,77,4,porolny
3,03_zeb_l_d,119901,104566,67257,30627,6127,528,27,0,0,0,0,0,0.510000,34.720001,16.071278,17.343493,4.966039,24.661545,0.309001,6.560000,-0.300439,3.274600,3.930714,3.259999,3.236507,16.071278,2.779099,-0.162319,0.368287,0.172923,-0.058407,0.132520,2.260000,7.512500,9.570000,12.030000,12.960000,13.750000,15.120000,16.389999,17.650000,18.879999,19.520000,20.209999,21.920000,23.440001,27.340000,0.454875,16.821037,17.438645,8.000000,135.000000,33.305654,14.047619,18.487361,341.782508,0.555082,24.000000,1.090205,3.902272,14.733464,33.305654,10.030130,2.325137,1.052384,0.301154,0.231815,0.104922,10.000000,12.000000,14.000000,17.000000,19.000000,21.000000,24.000000,29.000000,34.000000,40.000000,43.000000,48.000000,61.000000,71.000000,89.000000,50.716316,regietow,bk,,77,4,lesny
4,04_zeb_p_d,132228,109107,72976,29829,5607,661,33,1,0,0,0,0,0.510000,30.200001,14.092331,15.119365,5.542131,30.715218,0.393273,7.830001,-0.178145,2.540437,4.507261,3.900000,3.869365,14.092331,3.153821,-0.137028,0.310280,0.223797,-0.043448,0.098382,1.610000,4.200000,6.370000,9.210000,10.290000,11.250000,12.930000,14.410000,15.860000,17.320000,18.120001,18.980000,21.070000,22.740000,25.600000,0.457472,15.142944,15.961962,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-nan(ind),0.000000,-nan(ind),-nan(ind),0.000000,0.000000,0.000000,0.000000,0.000000,-nan(ind),-nan(ind),-nan(ind),0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,44.947946,regietow,bk,jd,87,5,lesny
5,05_zeb_p_d,160722,136249,88348,38760,8258,839,43,1,0,0,0,0,0.510000,29.990000,12.924837,15.483968,5.477373,30.001610,0.423787,8.000000,-0.229029,2.394067,4.501427,3.890000,3.746032,12.924837,3.120566,-0.200754,0.258593,0.241439,-0.064332,0.082867,1.250000,3.170000,4.810000,7.760000,9.000000,10.160000,12.010000,13.540000,14.910000,16.240000,17.000000,17.780001,19.600000,21.090000,24.100000,0.421127,14.037549,14.865106,8.000000,156.000000,33.937511,12.698413,19.754461,390.238712,0.582083,24.000000,1.415293,5.338618,15.121268,33.937511,10.414422,2.732233,1.474288,0.306871,0.262351,0.141562,10.000000,12.000000,14.000000,17.000000,19.000000,21.000000,25.000000,29.000000,34.000000,39.000000,43.000000,48.000000,61.000000,74.000000,100.000000,44.977330,regietow,bk,brz,72,4,porolny
6,06_rot_l_d,177553,134951,80053,42504,11003,1322,65,4,0,0,0,0,0.510000,28.049999,15.918999,17.995714,4.660160,21.717090,0.292742,5.719999,-0.953024,3.858640,3.622930,2.759998,2.655714,15.918999,2.543576,-0.455970,0.370191,0.159782,-0.179263,0.145539,1.400000,6.580000,9.590000,12.520000,13.510000,14.330000,15.660000,16.790001,17.790001,18.740000,19.230000,19.750000,21.020000,21.990000,23.445000,0.559513,16.587087,17.070968,8.000000,181.000000,36.542701,13.492063,23.065030,531.995626,0.631180,30.000000,1.269185,4.464171,18.217197,36.542701,12.285222,3.328376,1.390974,0.336188,0.270925,0.113223,10.000000,12.000000,14.000000,17.000000,19.000000,21.000000,25.000000,30.000000,36.000000,44.000000,49.000000,54.000000,70.000000,83.000000,108.000000,51.078796,regietow,bk,jd,92,5,lesny
7,07_rot_l_d,160692,116861,73461,33786,8370,1153,87,4,0,0,0,0,0.510000,29.230000,14.269808,15.097936,4.983909,24.839351,0.349263,6.700001,-0.297104,2.782632,3.992726,3.320000,3.297936,14.269808,2.815784,-0.180641,0.332432,0.197325,-0.064153,0.118060,2.120000,5.200000,7.360000,10.080000,11.070000,11.920000,13.410000,14.700000,15.870000,17.090000,17.770000,18.490000,20.420000,22.010000,24.493984,0.479102,15.115111,15.783931,8.000000,183.000000,32.763309,13.555556,19.401755,376.428094,0.592179,25.000000,1.429024,5.750857,15.055826,32.763309,10.256880,2.625169,1.255270,0.313060,0.255942,0.122383,10.000000,12.000000,13.000000,16.000000,18.000000,20.000000,23.000000,28.000000,33.000000,39.000000,43.000000,47.000000,58.000000,70.000000,98.000000,42.074198,regietow,bk,,122,7,lesny
8,08_rot_l_d,137328,96600,60168,28762,6822,802,44,2,0,0,0,0,0.510000,31.570000,16.390661,17.765555,4.886965,23.882426,0.298155,5.959999,-0.834425,3.671779,3.790255,2.880000,2.794444,16.390661,2.678045,-0.430539,0.407555,0.163388,-0.160766,0.152184,2.090000,6.470000,9.550000,12.850000,13.840000,14.690000,16.080000,17.240000,18.260000,19.280001,19.799999,20.340000,21.719999,22.830000,25.320000,0.511290,17.103683,17.630701,8.000000,166.000000,34.121501,15.523810,21.340062,455.398244,0.625414,27.000000,1.415392,5.182243,16.528194,34.121501,11.226974,3.135671,1.461102,0.329029,0.279298,0.130142,10.000000,12.000000,13.000000,16.000000,18.000000,20.000000,23.000000,28.000000,34.000000,40.000000,45.000000,49.000000,64.000000,77.000000,105.000000,45.409933,regietow,bk,,82,5,lesny
9,09_rot_l_d,125574,90195,59055,25438,5151,524,26,1,0,0,0,0,0.510000,34.169998,18.105033,20.278570,4.744568,22.510927,0.262058,5.730000,-0.861262,3.979997,3.656587,2.770000,2.678570,18.105033,2.588748,-0.410734,0.409240,0.142985,-0.158661,0.158084,3.620000,8.747002,11.710000,14.660000,15.630000,16.469999,17.799999,18.900000,19.920000,20.870001,21.360001,21.889999,23.230000,24.379999,26.840626,0.522728,18.716381,19.188672,8.000000,169.000000,32.381961,10.555556,18.646289,347.684082,0.575823,24.000000,1.317673,5.061243,14.549775,32.381961,9.937466,2.458030,1.199228,0.306883,0.247350,0.120677,10.000000,12.000000,13.000000,16.000000,18.000000,20.000000,23.000000,28.000000,33.000000,39.000000,42.000000,46.000000,57.000000,70.000000,93.000000,48.275589,regietow,bk,,82,5,lesny
10,10_skw_k_d,121520,88097,70574,15942,1528,53,0,0,0,0,0,0,0.510000,27.360001,14.745709,17.557619,5.500483,30.255312,0.373023,7.790001,-0.725215,2.638802,4.534604,3.299999,2.917619,14.745709,3.058068,-0.575684,0.261947,0.207387,-0.188251,0.085658,1.180000,3.820000,6.100000,9.520000,11.080000,12.510000,14.840000,16.290001,17.440001,18.400000,18.870001,19.389999,20.639999,21.549999,23.480000,0.530194,15.738199,16.416101,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-nan(ind),0.000000,-nan(ind),-nan(ind),0.000000,0.000000,0.000000,0.000000,0.000000,-nan(ind),-nan(ind),-nan(ind),0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,45.309966,skwirtne,so,bk,67,4,porolny
